Sport Name,Headline
Golf,"Inches from a 470-yard cliff, is this the most terrifying shot in sport?"
Golf,Tiger Woods and US sporting royalty set to tee off high-tech indoor golf league
Golf,Netflix to launch first ever live sports event with ‘Netflix Cup’ golf tournament
Golf,Six bull sharks inadvertently made their home on an Australian golf course. Then they vanished
Golf,Tom Kim becomes youngest golfer to win three PGA Tour titles since Tiger Woods
Golf,"Penalized for failing to properly replace his ball, golfer agonizingly loses chance of first ever PGA Tour card"
Golf,Ultra-exclusive private golf course opens in South Florida — with $1 million membership fee
Golf,Lexi Thompson to be seventh woman to compete against men at PGA Tour event
Football,Manchester United just can’t find winning formula under Dutch coach Erik ten Hag as mood around club darkens
Football,Bayern Munich stunned in German Cup by third division Saarbrücken after 96th-minute goal
Football,Hundreds gather to demand the release of Luis Díaz’s father in Liverpool star’s home town in Colombia
Football,Chiamaka Nnadozie’s father didn’t want her to play soccer. Nigerian star defied him and rewrote the record books
Football,Saudi Arabia set to host 2034 World Cup as Australia withdraws interest
Football,Lionel Messi and Aitana Bonmatí win men’s and women’s Ballon d’Or awards
Football,FIFA bans Luis Rubiales from ‘all football-related activities’ for three years after unwanted kiss on Jennifer Hermoso
Football,Lyon coach Fabio Grosso left with ‘glass stuck in his head’ after Marseille fans throw projectiles at team bus
Tennis,"Daniil Medvedev booed off the court, Novak Djokovic eases through and scheduling chaos at the Paris Masters"
Tennis,Tennis star Ons Jabeur to donate part of her WTA Finals prize money to ‘help the Palestinians’
Tennis,World No. 2 Carlos Alcaraz suffers shock defeat to Russia’s Roman Safiullin at Paris Masters
Tennis,WTA Finals: US star Jessica Pegula defeats world No. 1 Aryna Sabalenka to reach semifinals
Tennis,"Coco Gauff thrashes Ons Jabeur in near-perfect start to WTA Finals, amid tournament controversy"
Tennis,WTA Finals: How to watch and everything you need to know
Tennis,"WTA Finals: Records, history and the evolution of showpiece event of women’s tennis"
Tennis,Rafael Nadal says he’s feeling ‘better’ but isn’t ‘setting deadlines’ for his return to tennis
Olympics,Zane Robertson: New Zealand athlete handed eight-year ban for doping violations
Olympics,"Legendary gymnast Mary Lou Retton recovering at home after being hospitalized with pneumonia, daughter says"
Olympics,"Mary Lou Retton experiences ‘scary setback’ in her fight against a rare form of pneumonia, daughter says"
Olympics,"Olympic icon Mary Lou Retton ‘fighting for her life,’ according to daughter"
Olympics,France moves homeless people out of Paris as city prepares for next summer’s Olympics
Climbing,How a NASA scientist and a record-breaking mountaineer conquered an unknown mountain to raise money for girls’ education
Climbing,Gear up for outdoor adventures and save during this REI outlet sale
Climbing,8-year-old boy becomes youngest person to climb California’s El Capitan
Climbing,Meet three Black climbers taking representation to new heights on summits across Africa and around the world
Climbing,Nepali Sherpa breaks his own climbing record
US Sports,World Series Fast Facts
US Sports,Bud Light scores mega deal to become the official beer of UFC
US Sports,Arizona Diamondbacks headed to the World Series after beating Phillies for the National League pennant
US Sports,Texas Rangers crush Houston Astros in Game 7 of the American League Championship Series to advance to World Series
Golf,‘The angriest I have been in my career’: Rory McIlroy says two heated rows with US caddies fueled Ryder Cup win
Golf,Golf fan goes viral as he celebrates Europe’s Ryder Cup victory by jumping into a lake on the course
Golf,She found her dream home on one of the world’s most famous golf courses
Golf,Europe holds off late USA comeback to regain Ryder Cup
Golf,September: Sahith Theegala’s father roars on his son to emotional first PGA Tour title
Golf,August: How a former Navy SEAL helped Lucas Glover overcome 10 years of the yips and become golf’s most in-form player
Golf,July: Allisen Corpuz continues Hawaii private school’s illustrious reputation with US Women’s Open win
Football,Newcastle United and Italy midfielder Sandro Tonali banned for 10 months for violating betting regulations
Football,Swiss prosecutors end criminal proceedings against FIFA boss Gianni Infantino
Football,Erling Haaland gets on back on track in the Champions League as Manchester City defeats BSC Young Boys 3-1
Football,José Mourinho sent off after making ‘crying’ gesture as Roma scores dramatic winner
Football,English soccer in mourning after ‘greatest’ player Bobby Charlton dies
Football,Lionel Messi’s final game of the season for Inter Miami ends in defeat
Tennis,"Bobby Riggs said he could beat the top women’s tennis players. 50 years ago today, he got his chance"
Tennis,When Billie Jean King won the ‘Battle of the Sexes’
Tennis,Tearful Andy Murray dedicates win to his grandmother after missing her funeral to play in the Davis Cup
Tennis,"Novak Djokovic beats Daniil Medvedev to win US Open men’s final, extending his record grand slam titles to 24"
Tennis,Katherine Hui: Another American teenager enjoys success at US Open
Tennis,Coco Gauff’s US Open victory given presidential seal of approval
Climbing,The making of climbing superstar Janja Garnbret
Climbing,Walking up the height of Everest … indoors
Climbing,Emily Harrington makes history on El Capitan
Climbing,‘Black Ice’: The men and women making climbing more diverse
Climbing,Climbing Europe’s tallest chimney
Climbing,Sasha DiGiulian battles discrimination after being told ‘little girls don’t belong here’
Climbing,Will Gadd: ‘Mountain Hero’ climbs Kilimanjaro’s now-melting ice cap
US Sports,The best photos from the 2023 NFL season
US Sports,In pictures: American soccer star Megan Rapinoe
US Sports,Lionel Messi’s life in pictures
US Sports,In pictures: NFL legend Jim Brown
US Sports,Afrobeats stars shine in the spotlight during halftime show at NBA All-Star game
US Sports,The best photos from the 2023 Super Bowl
US Sports,In pictures: NFL legend Tom Brady
US Sports,The evolution of the Super Bowl halftime show
Golf,Suzann Pettersen on the Solheim Cup
Golf,Golf at Lofoten Links
Golf,City of God golf academy
Golf,The man bringing golf to the ‘City of God’
Golf,"How to play alongside crocodiles, snakes and kangaroos: Golf, Aussie-style"
Golf,The incredible true story of the time an astronaut played golf on the moon
Golf,"For nearly 50 years, only Black men caddied The Masters. One day, they all but vanished"
Golf,The golf academy in the ‘City of God’
Golf,Playing dead: The Illinois funeral home with a mini-golf course underneath
Golf,Tee-k Tock: The ‘appalling’ slow play controversy riling golf’s biggest stars
Golf,The haunting Masters meltdown that changed Rory McIlroy’s career
Golf,"Imposter syndrome, confidence crises and meltdowns: Netflix’s ‘Full Swing’ lays bare the psychological stresses of pro golf"
Olympics,How not making the Olympics ‘saved’ Molly Carlson from an eating disorder
Olympics,Simone Biles leads U.S. women to world team gold
Olympics,"After winning a world title, surfer Caroline Marks targets Olympic gold"
Olympics,Case Involving Valieva Unexpectedly Adjourned
Olympics,"Daniil Medvedev booed off the court, Novak Djokovic eases through and scheduling chaos at the Paris Masters"
Olympics,Tennis star Ons Jabeur to donate part of her WTA Finals prize money to ‘help the Palestinians’
Olympics,A doping free-for-all Enhanced Games calls itself the answer to doping in sports. Opponents say it poses a danger to health
Olympics,Manchester United just can’t find winning formula under Dutch coach Erik ten Hag as mood around club darkens
Climbing,"Daniil Medvedev booed off the court, Novak Djokovic eases through and scheduling chaos at the Paris Masters"
Climbing,Tennis star Ons Jabeur to donate part of her WTA Finals prize money to ‘help the Palestinians’
Climbing,A doping free-for-all Enhanced Games calls itself the answer to doping in sports. Opponents say it poses a danger to health
Climbing,Manchester United just can’t find winning formula under Dutch coach Erik ten Hag as mood around club darkens
US Sports,Jackson State University debuts first NCAA Division I female kicker at an HBCU
US Sports,Buffalo Bills’ Damien Harris was removed from the field on a gurney during New York Giants game
US Sports,Charlotte Hornets’ Miles Bridges turns himself in over protection order violation
US Sports,‘Five times the Super Bowl’: Why India vs Pakistan is a sporting rivalry like no other
US Sports,Taylor Swift is back ‘on the bleachers’ for Travis Kelce at the Kansas City Chiefs game
US Sports,Police say former NFL player Sergio Brown will face murder charges in the killing of his mother. Here’s what we know
US Sports,"Brendan Malone, former NBA coach and father of current NBA Champion, dies at 81"
US Sports,Mike Ditka Fast Facts
US Sports,Kansas City Chiefs’ Travis Kelce laughs off Aaron Rodgers’ ‘Mr. Pfizer’ quip
US Sports,"Dick Butkus, Pro Football Hall of Famer, dies at 80"
US Sports,"The football jersey Tom Brady wore on his final game is headed to auction, where it could sell for a record $2.5 million"
US Sports,Miami Marlins’ Kim Ng became the first woman GM to lead an MLB team to the playoffs
US Sports,"Daniil Medvedev booed off the court, Novak Djokovic eases through and scheduling chaos at the Paris Masters"
US Sports,Tennis star Ons Jabeur to donate part of her WTA Finals prize money to ‘help the Palestinians’
US Sports,A doping free-for-all Enhanced Games calls itself the answer to doping in sports. Opponents say it poses a danger to health
US Sports,Manchester United just can’t find winning formula under Dutch coach Erik ten Hag as mood around club darkens
